Time,Open,High,Low,Close,,,,,,,,
1766348220000000,88322.02,88322.02,88321.43,88321.44,,,,,,,,
1766348280000000,88321.44,88322.01,88312.31,88312.32,,,,,,,,
1766348340000000,88312.32,88322,88307.78,88307.79,,,,,,,,
1766348400000000,88307.79,88307.79,88291.22,88291.23,,,,,,,,
1766348460000000,88291.23,88300.07,88291.22,88300.07,,,,,,,,
1766348520000000,88300.07,88300.07,88280.54,88280.82,,,,,,,,
1766348580000000,88280.83,88307.78,88280.82,88307.77,,,,,,,,
1766348640000000,88307.77,88307.78,88307.77,88307.77,,,,,,,,
1766348700000000,88307.78,88307.78,88307.77,88307.78,,,,,,,,
1766348760000000,88307.77,88321.02,88307.77,88321.02,,,,,,,,
1766348820000000,88321.02,88328.22,88298.97,88298.97,,,,,,,,
1766348880000000,88298.98,88298.98,88298.97,88298.97,,,,,,,,
1766348940000000,88298.98,88298.98,88291.73,88291.74,,,,,,,,
1766349000000000,88291.73,88296.89,88280.66,88280.67,,,,,,,,
1766349060000000,88280.66,88280.67,88280.66,88280.67,,,,,,,,
1766349120000000,88280.66,88280.67,88278.41,88278.42,,,,,,,,
1766349180000000,88278.42,88304.41,88278.41,88304.41,,,,,,,,
1766349240000000,88304.4,88304.4,88280.65,88286.57,,,,,,,,
1766349300000000,88286.57,88319.77,88286.57,88305.91,,,,,,,,
1766349360000000,88305.9,88305.91,88305.9,88305.91,,,,,,,,
1766349420000000,88305.9,88314.74,88305.9,88307.39,,,,,,,,
1766349480000000,88307.4,88314.72,88307.39,88314.72,,,,,,,,
1766349540000000,88314.72,88314.72,88292.55,88292.56,,,,,,,,
1766349600000000,88292.55,88305.12,88292.55,88297.76,,,,,,,,
1766349660000000,88297.76,88315.01,88297.75,88306.18,,,,,,,,
1766349720000000,88306.17,88306.18,88306.17,88306.18,,,,,,,,
1766349780000000,88306.18,88306.18,88297.33,88297.34,,,,,,,,
1766349840000000,88297.33,88297.34,88291.65,88291.66,,,,,,,,
1766349900000000,88291.66,88291.66,88291.65,88291.66,,,,,,,,
1766349960000000,88291.66,88291.66,88280.57,88280.58,,,,,,,,
1766350020000000,88280.57,88280.58,88270.5,88274.01,,,,,,,,
1766350080000000,88274.01,88291.66,88274.01,88291.66,,,,,,,,
1766350140000000,88291.65,88291.66,88284.84,88291.65,,,,,,,,
1766350200000000,88291.65,88291.66,88258.16,88258.17,,,,,,,,
1766350260000000,88258.16,88258.17,88252.72,88252.73,,,,,,,,
1766350320000000,88252.73,88252.73,88250.01,88250.01,,,,,,,,
1766350380000000,88250.02,88250.02,88250.01,88250.01,,,,,,,,
1766350440000000,88250.01,88250.02,88232.81,88232.82,,,,,,,,
1766350500000000,88232.82,88243.71,88232.81,88243.7,,,,,,,,
1766350560000000,88243.71,88252.55,88243.7,88252.55,,,,,,,,
1766350620000000,88252.54,88252.55,88230.76,88230.77,,,,,,,,
1766350680000000,88230.76,88230.97,88230.76,88230.96,,,,,,,,
1766350740000000,88230.96,88230.97,88230.96,88230.96,,,,,,,,
1766350800000000,88230.97,88230.97,88217.24,88217.24,,,,,,,,
1766350860000000,88217.24,88217.25,88180.33,88200.95,,,,,,,,
1766350920000000,88200.94,88200.95,88192.11,88192.12,,,,,,,,
1766350980000000,88192.12,88202.54,88192.11,88202.53,,,,,,,,
1766351040000000,88202.53,88248.47,88202.53,88248.47,,,,,,,,
1766351100000000,88248.47,88248.47,88239.87,88239.88,,,,,,,,
1766351160000000,88239.88,88276.45,88239.87,88275.08,,,,,,,,
1766351220000000,88275.07,88275.08,88256.79,88267.52,,,,,,,,
1766351280000000,88267.52,88279.99,88267.52,88279.99,,,,,,,,
1766351340000000,88279.99,88279.99,88260.37,88260.38,,,,,,,,
1766351400000000,88260.37,88280,88260.37,88280,,,,,,,,
1766351460000000,88279.99,88279.99,88262.27,88269.36,,,,,,,,
1766351520000000,88269.36,88269.36,88269.35,88269.35,,,,,,,,
1766351580000000,88269.36,88269.36,88260.23,88267.99,,,,,,,,
1766351640000000,88268,88268,88267.31,88267.32,,,,,,,,
1766351700000000,88267.32,88311.51,88261.33,88311.5,,,,,,,,
1766351760000000,88311.5,88315.73,88306.89,88315.72,,,,,,,,
1766351820000000,88315.73,88315.73,88315.72,88315.72,,,,,,,,
1766351880000000,88315.73,88338.35,88315.72,88338.34,,,,,,,,
1766351940000000,88338.35,88368.62,88338.34,88368.62,,,,,,,,
1766352000000000,88368.61,88368.62,88368.61,88368.62,,,,,,,,
1766352060000000,88368.61,88368.83,88368.61,88368.82,,,,,,,,
1766352120000000,88368.82,88368.82,88345.55,88345.55,,,,,,,,
1766352180000000,88345.55,88345.56,88345.55,88345.56,,,,,,,,
1766352240000000,88345.56,88345.56,88345.55,88345.56,,,,,,,,
1766352300000000,88345.56,88363.22,88345.55,88363.21,,,,,,,,
1766352360000000,88363.22,88363.22,88352.09,88352.09,,,,,,,,
1766352420000000,88352.09,88352.1,88352.09,88352.09,,,,,,,,
1766352480000000,88352.09,88362.85,88352.09,88362.85,,,,,,,,
1766352540000000,88362.84,88362.85,88341.59,88341.6,,,,,,,,
1766352600000000,88341.6,88341.6,88341.59,88341.59,,,,,,,,
1766352660000000,88341.6,88368.83,88341.59,88356.35,,,,,,,,
1766352720000000,88356.35,88365.19,88356.35,88356.6,,,,,,,,
1766352780000000,88356.61,88364.18,88356.6,88364.17,,,,,,,,
1766352840000000,88364.18,88364.18,88364.17,88364.18,,,,,,,,
1766352900000000,88364.18,88364.18,88351.87,88351.87,,,,,,,,
1766352960000000,88351.88,88351.88,88351.87,88351.87,,,,,,,,
1766353020000000,88351.87,88351.88,88284.65,88284.66,,,,,,,,
1766353080000000,88284.66,88284.66,88284.65,88284.66,,,,,,,,
1766353140000000,88284.65,88300.55,88277.22,88277.22,,,,,,,,
1766353200000000,88277.23,88277.23,88264,88264.01,,,,,,,,
1766353260000000,88264,88264.01,88264,88264.01,,,,,,,,
1766353320000000,88264.01,88264.01,88260.54,88260.55,,,,,,,,
1766353380000000,88260.55,88260.55,88260.54,88260.55,,,,,,,,
1766353440000000,88260.54,88260.55,88214.46,88235.27,,,,,,,,
1766353500000000,88235.27,88240.73,88227.37,88240.73,,,,,,,,
